heroes,"I, I will be king. And you, you will be queen. Though nothing will drive them away. We can beat them, just for one day. We can be Heroes, just for one day. And you, you can be mean. And I, I'll drink all the time. 'Cause we're lovers, and that is a fact. Yes we're lovers, and that is that. Though nothing, will keep us together. We could steal time,. just for one day. We can be Heroes, for ever and ever. What d'you say?. I, I wish you could swim. Like the dolphins, like dolphins can swim. Though nothing, nothing will keep us together. We can beat them, for ever and ever. Oh we can be Heroes, just for one day. I, I will be king. And you, you will be queen. Though nothing will drive us away. We can be Heroes, just for one day. We can be us, just for one day. I, I can remember (I remember). Standing, by the wall (by the wall). And the guns, shot above our heads. (over our heads). And we kissed, as though nothing could fall. (nothing could fall). And the shame, was on the other side. Oh we can beat them, for ever and ever. Then we could be Heroes, just for one day. We can be Heroes. We can be Heroes. We can be Heroes. Just for one day. We can be Heroes. We're nothing, and nothing will help us. Maybe we're lying,. then you better not stay. But we could be safer, just for one day. Oh-oh-oh-ohh, oh-oh-oh-ohh, just for one day"
starman,"Didn't know what time it was,. The lights were low. I leaned back on my radio. Some cat was layin' down. Some rock 'n' roll 'lotta soul, he said. Then the loud sound did seem to fade. Came back like a slow voice on a wave of phase. That weren't no D.J. that was hazy cosmic jive. There's a starman waiting in the sky. He'd like to come and meet us. But he thinks he'd blow our minds. There's a starman waiting in the sky. He's told us not to blow it. Cause he knows it's all worthwhile. He told me:. Let the children lose it. Let the children use it. Let all the children boogie. I had to phone someone so I picked on you. Hey, that's far out so you heard him too!. Switch on the Tv we may pick him up on channel two. Look out your window I can see his light. If we can sparkle he may land tonight. Don't tell your poppa or he'll get us locked up. In fright. There's a starman waiting in the sky. He'd like to come and meet us. But he thinks he'd blow our minds. There's a starman waiting in the sky. He's told us not to blow it. Cause he knows it's all worthwhile. He told me:. Let the children lose it. Let the children use it. Let all the children boogie. There's a starman waiting in the sky. He'd like to come and meet us. But he thinks he'd blow our minds. There's a starman waiting in the sky. He's told us not to blow it. Cause he knows it's all worthwhile. He told me:. Let the children lose it. Let the children use it. Let all the children boogie"
space oddity,"Ground control to Major Tom. Ground control to Major Tom. Take your protein pills and put your helmet on. Ground control to Major Tom. (10, 9, 8, 7). Commencing countdown, engines on. (6, 5, 4, 3). Check ignition, and may God's love be with you. (2, 1, liftoff). This is ground control to Major Tom,. You've really made the grade. And the papers want to know whose shirts you wear. Now it's time to leave the capsule if you dare. This is Major Tom to ground control. I'm stepping through the door. And I'm floating in the most peculiar way. And the stars look very different today. For here am I sitting in a tin can. Far above the world. Planet Earth is blue, and there's nothing I can do. Though I'm past 100,000 miles. I'm feeling very still. And I think my spaceship knows which way to go. Tell my wife I love her very much, she knows. Ground control to Major Tom,. Your circuit's dead, there's something wrong. Can you hear me Major Tom?. Can you hear me Major Tom?. Can you hear me Major Tom?. Can you.... Here am I floating round my tin can. Far above the moon. Planet Earth is blue, and there's nothing I can do...."
life on mars?,"It's a god-awful small affair. To the girl with the mousy hair. But her mummy is yelling ""No"". And her daddy has told her to go. But her friend is nowhere to be seen. Now she walks through her sunken dream. To the seat with the clearest view. And she's hooked to the silver screen. But the film is a saddening bore. For she's lived it ten times or more. She could spit in the eyes of fools. As they ask her to focus on. Sailors fighting in the dance hall. Oh man! Look at those cavemen go. It's the freakiest show. Take a look at the Lawman. Beating up the wrong guy. Oh man! Wonder if he'll ever know. He's in the best selling show. Is there life on Mars?. It's on Amerika's tortured brow. That Mickey Mouse has grown up a cow. Now the workers have struck for fame. 'Cause Lennon's on sale again. See the mice in their million hordes. From Ibeza to the Norfolk Broads. Rule Britannia is out of bounds. To my mother, my dog, and clowns. But the film is a saddening bore. 'Cause I wrote it ten times or more. It's about to be writ again. As I ask you to focus on. Sailors fighting in the dance hall. Oh man! Look at those cavemen go. It's the freakiest show. Take a look at the Lawman. Beating up the wrong guy. Oh man! Wonder if he'll ever know. He's in the best selling show. Is there life on Mars?"
modern love,"I know when to go out. And when to stay in. Get things done. I catch a paper boy. But things don't really change. I'm standing in the wind. But I never wave bye-bye. But I try, I try. There's no sign of life. It's just the power to charm. I'm lying in the rain. But I never wave bye-bye. But I try, I try. Never gonna fall for. Modern love walks beside me. Modern love walks on by. Modern love gets me to the church on time. Church on time terrifies me. Church on time makes me party. Church on time puts my trust in god and man. God and man no confessions. God and man no religion. God and man don't believe in modern love. It's not really work. It's just the power to charm. I'm still standing in the wind. But I never wave bye bye. But I try, I try. Never gonna fall for. Modern love walks beside me. Modern love walks on by. Modern love gets me to the church on time. Church on time terrifies me. Church on time makes me party. Church on time puts my trust in god and man. God and man no confessions. God and man no religion. God and man don't believe in modern love. Modern love - Modern love. Modern love - Modern love, walks beside me. Modern love - Modern love, walks on by"
changes,"I still don't know what I was waiting for. And my time was running wild. A million dead-end streets. Every time I thought I'd got it made. It seemed the taste was not so sweet. So I turned myself to face me. But I've never caught a glimpse. Of how the others must see the faker. I'm much too fast to take that test. Ch-ch-ch-ch-Changes. (Turn and face the strange). Ch-ch-Changes. Don't want to be a richer man. Ch-ch-ch-ch-Changes. (Turn and face the strange). Ch-ch-Changes. Just gonna have to be a different man. Time may change me. But I can't trace time. I watch the ripples change their size. But never leave the stream. Of warm impermanence and. So the days float through my eyes. But still the days seem the same. And these children that you spit on. As they try to change their worlds. Are immune to your consultations. They're quite aware of what they're going through. Ch-ch-ch-ch-Changes. (Turn and face the strange). Ch-ch-Changes. Don't tell them to grow up and out of it. Ch-ch-ch-ch-Changes. (Turn and face the strange). Ch-ch-Changes. Where's your shame. You've left us up to our necks in it. Time may change me. But you can't trace time. Strange fascination, fascinating me. Changes are taking the pace I'm going through. Ch-ch-ch-ch-Changes. (Turn and face the strange). Ch-ch-Changes. Oh, look out you rock 'n rollers. Ch-ch-ch-ch-Changes. (Turn and face the strange). Ch-ch-Changes. Pretty soon now you're gonna get older. Time may change me. But I can't trace time. I said that time may change me. But I can't trace time"
let's dance,"Let's dance. Put on your red shoes and dance the blues. Let's dance. To the song they're playin' on the radio. Let's sway. While colour lights up your face. Let's sway. Sway through the crowd to an empty space. Chorus:. If you say run, I'll run with you. If you say hide, we'll hide. Because my love for you. Would break my heart in two. If you should fall. Into my arms. And tremble like a flower. Let's dance. For fear your grace should fall. Let's dance. For fear tonight is all. Let's sway. You could look into my eyes. Let's sway. Under the moonlight, this serious moonlight. Chorus. Let's dance. Put on your red shoes and dance the blues. Let's dance. To the song they're playin' on the radio. Let's sway. You could look into my eyes. Let's sway. Under the moonlight, this serious moonlight"
the man who sold the world,"We passed upon the stair,. we spoke of was and when. Although I wasn't there,. he said I was his friend. Which came as some a surprise. I spoke into his eyes. I thought you died alone,. a long long time ago. (refrão). Oh no, not me. We never lost control. You're face to face. With The Man Who Sold The World. I laughed and shook his hand,. and made my way back home. I searched for form and land,. for years and years I roamed. I gazed a gazely stare at all the millions hills. We must have died alone,. a long long time ago. Who knows? not me. I never lost control. You're face to face. With the Man who Sold the World"
as the world falls down,"There's such a sad love. Deep in your eyes.. A kind of pale jewel. Open and closed. Within your eyes.. I'll place the sky. Within your eyes.. There's such a fooled heart. Beatin' so fast. In search of new dreams.. A love that will last. Within your heart.. I'll place the moon. Within your heart.. As the pain sweeps through,. Makes no sense for you.. Every thrill is gone.. Wasn't too much fun at all,. But I'll be there for you-ou-ou. As the world falls down.. Falling.. As the world falls down.. Falling.. Falling in love.. I'll paint you mornings of gold.. I'll spin you Valentine evenings.. Though we're strangers 'til now,. We're choosing the path. Between the stars.. I'll leave my love. Between the stars.. As the pain sweeps through,. Makes no sense for you.. Every thrill is gone.. Wasn't too much fun at all,. But I'll be there for you-ou-ou. As the world falls down.. Falling. As the world falls down.. Falling. Falling. As the world falls down.. Falling.. Falling.. Falling. Falling in love. As the world falls down.. Falling.. Falling.. Falling.. Falling in love. As the world falls down.. Makes no sense at all.. Makes no sense to fall.. Falling. As the world falls down.. Falling.. Falling.. Falling in love. As the world falls down.. Falling.. Falling. Falling in love. Falling in love. Falling in love. Falling in love. Falling in love"
ziggy stardust,Ziggy played guitar. jamming good with Weird and Gilly. And the spiders from Mars. He played it left hand. But made it too far. Became the special man. then we were Ziggy's band. Ziggy really sang. screwed up eyes and screwed down hairdo. Like some cat from Japan. he could lick 'em by smiling. He could leave 'em to hang. Came on so loaded man. well hung and snow white tan. So where were the spiders while. the fly tried to break our balls. Just the beer light to guide us. So we bitched about his fans and. should we crush his sweet hands?. Ziggy played for time. Jiving us that we were voodoo. The kids were just crass. he was the nazz. With God given ass. He took it all too far but. boy could he play guitar. Making love with his ego. Ziggy sucked up into his mind. Like a leper messiah. When the kids had killed the man. I had to break up the band. Ziggy played gui... tar
